nome,indirizzo,citta,nazione,lat,lng
Lavaggio Kopler Mutterstadt,"Im Vorderkehr 18, 67112 Mutterstadt, Germania",Mutterstadt,Germania,49.4280608,8.3627583
LAVAGGIO KORTIMED EFTCO,"Unnamed Road, 57014 Interporto Amerigo Vespucci LI, Italia",Interporto Amerigo Vespucci,Italia,43.6026618,10.3894756
Lavaggio Laabs Hildsheim,"Porschestraße 19, 31135 Hildesheim, Germania",Hildesheim,Germania,52.1649061,9.9829485
Lavaggio Landini Castellanza,"Viale Don Giovanni Minzoni, 21053 Castellanza VA, Italia",Castellanza,Italia,45.603842,8.8931761
Lavaggio LAV'INDUS MALESHERBES,"3 Rue 19 Mars 1962, 45330 Malesherbes, Francia",Malesherbes,Francia,48.2926073,2.399465
Lavaggio Lavadero Sesena,"<span onmouseover=""this.innerHTML = &quot;Travesía Carretera Illescas Cronista la Rei, 4, 45224 Seseña, Provincia di Toledo, Spagna&quot;;"" onmouseout=""this.innerHTML=&quot;Travesía Carretera Illescas Cronista la Rei, 4, 45224 Sese...&quot;;"">Travesía Car",4,,40.1047156,-3.6501192
Lavaggio Lavanord 31620 CASTELNAU D' ESTREFOUNDS,"3 L'Ourmède, 31620 Castelnau-d'Estrétefonds, Francia",Castelnau-d'Estrétefonds,Francia,43.7650131,1.368545
Lavaggio LAVASEINE Oissel,"Francia, 76350 Oissel, Boulevard Dambourney",Oissel,,49.3581639,1.1137943
Lavaggio Lettl,"Staudhamer Feld 12, 83512 Wasserburg am Inn, Germania",Wasserburg am Inn,Germania,48.0617871,12.1712301
Lavaggio Lisina ROSETO,,,,42.6496459,13.9768035
Lavaggio Liverani Group,"Via Ronchesana, 30, 37059 Zevio VR, Italia",Zevio,Italia,45.3669311,11.0879632
LAVAGGIO LOUDEAC,"4 Rue de Très le Bois, 22600 Loudéac, Francia",Loudéac,Francia,48.1573307,-2.7632287
Lavaggio MATRA Trebaseleghe,"Via Manetti, 39, 35010 Trebaseleghe PD, Italia",Trebaseleghe,Italia,45.5819049,12.0505152
Lavaggio Mervielde Transport - Ertvelde,"Monumentstraat 2-20, 9940 Evergem, Belgio",Evergem,Belgio,51.1756461,3.7819015
Lavaggio MG Marcianise,"Via Trivio Quaranta, 81025 Marcianise CE, Italia",Marcianise,Italia,41.0232418,14.3327713
Lavaggio MISP GROJEC,"Szkolna 14, 05-600 Grójec, Polonia",05-600 Grójec,Polonia,51.8724328,20.8697415
Lavaggio Monselice,"Via Puglia, 6, 35043 Monselice PD, Italia",Monselice,Italia,45.2201706,11.744211
LAVAGGIO MTR FOOD,"Pfingstweidstraße 5, 68199 Mannheim, Germania",Mannheim,Germania,49.4598183,8.4969998
Lavaggio MTR Mannheim,"Franz-Grashof-Straße 8, 68199 Mannheim, Germania",Mannheim,Germania,49.4569342,8.5061432
Lavaggio NLA Doue en Anjou,"4-312 Rue des Fougerons, 49700 Doué-en-Anjou, Francia",Doué-en-Anjou,Francia,47.1855515,-0.2432665
Lavaggio PARKING SERVICES 08755 CASTELLBISBAL,"Carrer Masia Ca n'Estapé, 5, 08755 Castellbisbal, Barcellona, Spagna",Castellbisbal,Spagna,41.4672297,2.0004945
Lavaggio Pawtrans Poniatowa,"Kraczewicka 198, 24-320 Poniatowa, Polonia",24-320 Poniatowa,Polonia,51.1884585,22.050041
Lavaggio Pawtrans Slovacchia,"Bulharská 7180/52, 91701 Trnava, Slovacchia",Trnava,Slovacchia,48.3596249,17.59627
Lavaggio Pellegrini Nogarole Rocca,"Via Piave, 1, 37060 Nogarole Rocca VR, Italia",Nogarole Rocca,Italia,45.2790886,10.8655485
Lavaggio Puertollano,"CR-504, 13597 Puertollano, Ciudad Real, Spagna",Puertollano,Spagna,38.6856183,-4.0687322
LAVAGGIO PULICAR,"Via Paolo Poggi, 999, 40068 San Lazzaro BO, Italia",San Lazzaro,Italia,44.4701665,11.419232
